response,age,income,response_pt_2,age_range,trigrams
just financially i am failing,36.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  just financially i am failing,35-44,[]
"paying a lot more for food,",60.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  paying a lot more for food,",55-64,"[('paying', 'lot', 'food')]"
A lot | don’t have money to keep up with bills,22.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  A lot | don’t have money to keep up with bills ,18-24,"[('lot', 'money', 'keep'), ('money', 'keep', 'bills')]"
All my bills are late,41.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  All my bills are late,35-44,[]
Made me cut back on non essential purchases and carry over a couple bills.,37.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Made me cut back on non essential purchases and carry over a couple bills. ,35-44,"[('made', 'cut', 'back'), ('cut', 'back', 'non'), ('back', 'non', 'essential'), ('non', 'essential', 'purchases'), ('essential', 'purchases', 'carry'), ('purchases', 'carry', 'couple'), ('carry', 'couple', 'bills')]"
Struggling month to month,34.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Struggling month to month,25-34,"[('struggling', 'month', 'month')]"
1 Became Homeless,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 Became Homeless,25-34,[]
We've had yo stretch every dollar. We had to cut down to 2 meals a day . we only face- time our families,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We've had yo stretch every dollar. We had to cut down to 2 meals a day . we only face- time our families ,55-64,"[('yo', 'stretch', 'every'), ('stretch', 'every', 'dollar'), ('every', 'dollar', 'cut'), ('dollar', 'cut', '2'), ('cut', '2', 'meals'), ('2', 'meals', 'day'), ('meals', 'day', 'time'), ('day', 'time', 'families')]"
It has made have to rely on a Food Pantry,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has made have to rely on a Food Pantry,55-64,"[('made', 'rely', 'food'), ('rely', 'food', 'pantry')]"
Struggle to eat day to day,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Struggle to eat day to day,18-24,"[('struggle', 'eat', 'day'), ('eat', 'day', 'day')]"
"1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet.",31.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet. ",25-34,"[('1am', 'still', 'working'), ('still', 'working', 'pay'), ('working', 'pay', 'hours'), ('pay', 'hours', 'cut'), ('hours', 'cut', 'savings'), ('cut', 'savings', 'selling'), ('savings', 'selling', 'ever'), ('selling', 'ever', 'make'), ('ever', 'make', 'ends'), ('make', 'ends', 'meet')]"
"1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet.",31.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  1am still working but pay and hours are cut, we are out of savings and selling what ever we can to make ends meet. ",25-34,"[('1am', 'still', 'working'), ('still', 'working', 'pay'), ('working', 'pay', 'hours'), ('pay', 'hours', 'cut'), ('hours', 'cut', 'savings'), ('cut', 'savings', 'selling'), ('savings', 'selling', 'ever'), ('selling', 'ever', 'make'), ('ever', 'make', 'ends'), ('make', 'ends', 'meet')]"
"I have no money to pay bills, so 1 am currently borrowing money.",32.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money. ",25-34,"[('money', 'pay', 'bills'), ('pay', 'bills', 'currently'), ('bills', 'currently', 'borrowing'), ('currently', 'borrowing', 'money')]"
Increased debt,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Increased debt,55-64,[]
Bad,22.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Bad,18-24,[]
"lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended",24.0,"Income: $50,001 - $75,000","How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended    ",18-24,"[('lam', 'currently', 'employed'), ('currently', 'employed', 'partner'), ('employed', 'partner', 'stays'), ('partner', 'stays', 'home'), ('stays', 'home', '3'), ('home', '3', 'year'), ('3', 'year', 'old'), ('year', 'old', 'daughter'), ('old', 'daughter', 'half'), ('daughter', 'half', 'income'), ('half', 'income', 'used'), ('income', 'used', 'extra'), ('used', 'extra', '600'), ('extra', '600', 'unemployment'), ('600', 'unemployment', 'ended')]"
I don't have enough rent,23.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I don't have enough rent,18-24,[]
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
my roommate is in the hospital alone because I cannot get there for him,54.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  my roommate is in the hospital alone because I cannot get there for him ,45-54,"[('roommate', 'hospital', 'alone'), ('hospital', 'alone', 'get')]"
I'm fucked,38.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm fucked,35-44,[]
I live in my car with my dog and can barely feed myself.,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I live in my car with my dog and can barely feed myself. ,25-34,"[('live', 'car', 'dog'), ('car', 'dog', 'barely'), ('dog', 'barely', 'feed')]"
I need to get forgiven for my credit card payments for 2 months,57.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I need to get forgiven for my credit card payments for 2 months ,55-64,"[('need', 'get', 'forgiven'), ('get', 'forgiven', 'credit'), ('forgiven', 'credit', 'card'), ('credit', 'card', 'payments'), ('card', 'payments', '2'), ('payments', '2', 'months')]"
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,"[('always', 'challenge', 'meet'), ('challenge', 'meet', 'monthly'), ('meet', 'monthly', 'bills')]"
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,"[('difficult', 'family', 'recover'), ('family', 'recover', 'without'), ('recover', 'without', 'assistance')]"
Horrible,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Horrible,25-34,[]
Possible eviction,45.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Possible eviction,45-54,[]
Cut spending. Only use money for bills,51.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Cut spending. Only use money for bills,45-54,"[('cut', 'spending', 'use'), ('spending', 'use', 'money'), ('use', 'money', 'bills')]"
Can't support my family,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't support my family,55-64,"[('ca', 'support', 'family')]"
Behind on bills need a lot of car repairs,50.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Behind on bills need a lot of car repairs,45-54,"[('behind', 'bills', 'need'), ('bills', 'need', 'lot'), ('need', 'lot', 'car'), ('lot', 'car', 'repairs')]"
IT'S BEEN HARD ON ALL OF US.,66.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  IT'S BEEN HARD ON ALL OF US.,65+,[]
Less spending. Canceled vacation. Going out to eat less. More stress on every day life.,72.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  Less spending. Canceled vacation. Going out to eat less. More stress on every day life. ,65+,"[('less', 'spending', 'canceled'), ('spending', 'canceled', 'vacation'), ('canceled', 'vacation', 'going'), ('vacation', 'going', 'eat'), ('going', 'eat', 'less'), ('eat', 'less', 'stress'), ('less', 'stress', 'every'), ('stress', 'every', 'day'), ('every', 'day', 'life')]"
Can barely buy what we need,65.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Can barely buy what we need,65+,"[('barely', 'buy', 'need')]"
give me some mony,42.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  give me some mony,35-44,[]
I'm losing everything | got,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm losing everything | got,45-54,"[('losing', 'everything', 'got')]"
If |had more | could have paid off my summer class,20.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  If |had more | could have paid off my summer class ,18-24,"[('could', 'paid', 'summer'), ('paid', 'summer', 'class')]"
It will be very difficult for my family to recover from this without some assistance.,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It will be very difficult for my family to recover from this without some assistance. ,45-54,"[('difficult', 'family', 'recover'), ('family', 'recover', 'without'), ('recover', 'without', 'assistance')]"
It has impacted me very badly,21.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has impacted me very badly,18-24,[]
Horrible,31.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Horrible,25-34,[]
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,"[('always', 'challenge', 'meet'), ('challenge', 'meet', 'monthly'), ('meet', 'monthly', 'bills')]"
I'm in debt,19.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm in debt,18-24,[]
owe taxes,40.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  owe taxes,35-44,[]
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,"[('makes', 'harder', 'buy'), ('harder', 'buy', 'food'), ('buy', 'food', 'pay'), ('food', 'pay', 'bills')]"
It has been devastating.,69.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  It has been devastating.,65+,[]
"We have used as little water and electricity as possible, and only eat one meal a day now.",39.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  We have used as little water and electricity as possible, and only eat one meal a day now. ",35-44,"[('used', 'little', 'water'), ('little', 'water', 'electricity'), ('water', 'electricity', 'possible'), ('electricity', 'possible', 'eat'), ('possible', 'eat', 'one'), ('eat', 'one', 'meal'), ('one', 'meal', 'day')]"
It has impacted me very much. I am unable to care for my family now.,34.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It has impacted me very much. I am unable to care for my family now. ,25-34,"[('impacted', 'much', 'unable'), ('much', 'unable', 'care'), ('unable', 'care', 'family')]"
living off my savings,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  living off my savings,55-64,[]
I'm going to be evicted,39.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I'm going to be evicted,35-44,[]
I lost my home,40.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I lost my home,35-44,[]
Makes me sad.,69.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  Makes me sad.,65+,[]
late on paying bills,26.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  late on paying bills,25-34,"[('late', 'paying', 'bills')]"
Horribly not able to pay my stuff,24.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Horribly not able to pay my stuff,18-24,"[('horribly', 'able', 'pay'), ('able', 'pay', 'stuff')]"
We have been behind on our bills,65.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We have been behind on our bills,65+,[]
i have a lot more unpaid bills,62.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  i have a lot more unpaid bills,55-64,"[('lot', 'unpaid', 'bills')]"
It m.h ade it harder to be able to eat right,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right,55-64,"[('ade', 'harder', 'able'), ('harder', 'able', 'eat'), ('able', 'eat', 'right')]"
"It has kept me from preparing for any future expenses. | have not been able to by extra essentials in case I, or someone in my house catches the corona virus and we must isolate at home.",67.0,"Income: $25,000 - $50,000","How has losing or going without more aid impacted you?  It has kept me from preparing for any future expenses. | have not been able to by extra essentials in case I, or someone in my house catches the corona virus and we must isolate at home. ",65+,"[('kept', 'preparing', 'future'), ('preparing', 'future', 'expenses'), ('future', 'expenses', 'able'), ('expenses', 'able', 'extra'), ('able', 'extra', 'essentials'), ('extra', 'essentials', 'case'), ('essentials', 'case', 'someone'), ('case', 'someone', 'house'), ('someone', 'house', 'catches'), ('house', 'catches', 'corona'), ('catches', 'corona', 'virus'), ('corona', 'virus', 'must'), ('virus', 'must', 'isolate'), ('must', 'isolate', 'home')]"
It makes it very difficult to consider buying household goods and food I need,58.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It makes it very difficult to consider buying household goods and food I need ,55-64,"[('makes', 'difficult', 'consider'), ('difficult', 'consider', 'buying'), ('consider', 'buying', 'household'), ('buying', 'household', 'goods'), ('household', 'goods', 'food'), ('goods', 'food', 'need')]"
Behind in bills,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Behind in bills,25-34,[]
I don’t know what the future holds for me as far as housing and employment. This is the worst situation I have been in. | have never been without a job and medical insurance,48.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I don’t know what the future holds for me as far as housing and employment. This is the worst situation I have been in. | have never been without a job and medical insurance ,45-54,"[('know', 'future', 'holds'), ('future', 'holds', 'far'), ('holds', 'far', 'housing'), ('far', 'housing', 'employment'), ('housing', 'employment', 'worst'), ('employment', 'worst', 'situation'), ('worst', 'situation', 'never'), ('situation', 'never', 'without'), ('never', 'without', 'job'), ('without', 'job', 'medical'), ('job', 'medical', 'insurance')]"
Not k owing if your going to eat or lose your hoe,53.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Not k owing if your going to eat or lose your hoe ,45-54,"[('k', 'owing', 'going'), ('owing', 'going', 'eat'), ('going', 'eat', 'lose'), ('eat', 'lose', 'hoe')]"
Can't pay bills,46.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't pay bills,45-54,"[('ca', 'pay', 'bills')]"
Doctor visits have been postponed,71.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Doctor visits have been postponed,65+,"[('doctor', 'visits', 'postponed')]"
I'm in debt,19.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I'm in debt,18-24,[]
it forces me to go out to buy food & household goods more often because | don't have enough money at one time,59.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time ,55-64,"[('forces', 'go', 'buy'), ('go', 'buy', 'food'), ('buy', 'food', 'household'), ('food', 'household', 'goods'), ('household', 'goods', 'often'), ('goods', 'often', 'enough'), ('often', 'enough', 'money'), ('enough', 'money', 'one'), ('money', 'one', 'time')]"
"I have to search harder for some items, and pay more",67.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have to search harder for some items, and pay more ",65+,"[('search', 'harder', 'items'), ('harder', 'items', 'pay')]"
We are struggling to pay bills,41.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are struggling to pay bills,35-44,"[('struggling', 'pay', 'bills')]"
it makes it harder to buy food and pay bills.,76.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills.,65+,"[('makes', 'harder', 'buy'), ('harder', 'buy', 'food'), ('buy', 'food', 'pay'), ('food', 'pay', 'bills')]"
1 am unable to pay all that needs paid .,54.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1 am unable to pay all that needs paid .,45-54,"[('unable', 'pay', 'needs'), ('pay', 'needs', 'paid')]"
Having more aid really helped my family by allowing us to pay off debt while I’m not working,33.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Having more aid really helped my family by allowing us to pay off debt while I’m not working ,25-34,"[('aid', 'really', 'helped'), ('really', 'helped', 'family'), ('helped', 'family', 'allowing'), ('family', 'allowing', 'us'), ('allowing', 'us', 'pay'), ('us', 'pay', 'debt'), ('pay', 'debt', 'working')]"
Behind on rent,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Behind on rent,35-44,[]
no extra money,65.0,"Income: $100,001 - $150,000",How has losing or going without more aid impacted you?  no extra money,65+,[]
Food prices going up,63.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Food prices going up,55-64,"[('food', 'prices', 'going')]"
makes it hader to make the bills,37.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  makes it hader to make the bills,35-44,"[('makes', 'hader', 'make'), ('hader', 'make', 'bills')]"
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,"[('great', 'hard', 'keep'), ('hard', 'keep', 'bills'), ('keep', 'bills', 'monthly'), ('bills', 'monthly', 'subscriptions'), ('monthly', 'subscriptions', 'let'), ('subscriptions', 'let', 'alone'), ('let', 'alone', 'things'), ('alone', 'things', 'need'), ('things', 'need', 'like'), ('need', 'like', 'food'), ('like', 'food', 'toilet'), ('food', 'toilet', 'paper'), ('toilet', 'paper', 'etc')]"
Financial crisis,27.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Financial crisis,25-34,[]
Having trouble trying to get ends to meet.,40.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Having trouble trying to get ends to meet.,35-44,"[('trouble', 'trying', 'get'), ('trying', 'get', 'ends'), ('get', 'ends', 'meet')]"
"If it was not for aid, | would not know how our family would make it.",64.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  If it was not for aid, | would not know how our family would make it.    ",55-64,"[('aid', 'would', 'know'), ('would', 'know', 'family'), ('know', 'family', 'would'), ('family', 'would', 'make')]"
Can't pay my bills,51.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't pay my bills,45-54,"[('ca', 'pay', 'bills')]"
lam retired so every price increase impacts us greatly. We are having to stick with essentials only unless/until another stimulus is passed.,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  lam retired so every price increase impacts us greatly. We are having to stick with essentials only unless/until another stimulus is passed.     ,55-64,"[('lam', 'retired', 'every'), ('retired', 'every', 'price'), ('every', 'price', 'increase'), ('price', 'increase', 'impacts'), ('increase', 'impacts', 'us'), ('impacts', 'us', 'greatly'), ('us', 'greatly', 'stick'), ('greatly', 'stick', 'essentials'), ('stick', 'essentials', 'another'), ('essentials', 'another', 'stimulus'), ('another', 'stimulus', 'passed')]"
Can't pay bills,46.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't pay bills,45-54,"[('ca', 'pay', 'bills')]"
It is very stressful and | hope to get more to help pay for bills and food to survive,66.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is very stressful and | hope to get more to help pay for bills and food to survive ,65+,"[('stressful', 'hope', 'get'), ('hope', 'get', 'help'), ('get', 'help', 'pay'), ('help', 'pay', 'bills'), ('pay', 'bills', 'food'), ('bills', 'food', 'survive')]"
We are behind on bills.,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We are behind on bills.,35-44,[]
"I have to search harder for some items, and pay more",67.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have to search harder for some items, and pay more ",65+,"[('search', 'harder', 'items'), ('harder', 'items', 'pay')]"
"I have no job, or money",40.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  I have no job, or money",35-44,[]
We are unable to pay our mortgage this month. We literally have no money,39.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are unable to pay our mortgage this month. We literally have no money ,35-44,"[('unable', 'pay', 'mortgage'), ('pay', 'mortgage', 'month'), ('mortgage', 'month', 'literally'), ('month', 'literally', 'money')]"
Less money for needs,25.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Less money for needs,25-34,"[('less', 'money', 'needs')]"
It really makes me unsecured,40.0,"Income: More than $150,000",How has losing or going without more aid impacted you?  It really makes me unsecured,35-44,"[('really', 'makes', 'unsecured')]"
I have no money left to pay some essential bills,32.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I have no money left to pay some essential bills ,25-34,"[('money', 'left', 'pay'), ('left', 'pay', 'essential'), ('pay', 'essential', 'bills')]"
1 am unable to pay all that needs paid .,54.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1 am unable to pay all that needs paid .,45-54,"[('unable', 'pay', 'needs'), ('pay', 'needs', 'paid')]"
I could use another stimulus check to pay property taxes,56.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I could use another stimulus check to pay property taxes ,55-64,"[('could', 'use', 'another'), ('use', 'another', 'stimulus'), ('another', 'stimulus', 'check'), ('stimulus', 'check', 'pay'), ('check', 'pay', 'property'), ('pay', 'property', 'taxes')]"
TROUBLE PAYING BILLS,50.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  TROUBLE PAYING BILLS,45-54,"[('trouble', 'paying', 'bills')]"
I don’t buy all the groceries | want. | postpone medical treatment. | juggle bills,70.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  I don’t buy all the groceries | want. | postpone medical treatment. | juggle bills ,65+,"[('buy', 'groceries', 'want'), ('groceries', 'want', 'postpone'), ('want', 'postpone', 'medical'), ('postpone', 'medical', 'treatment'), ('medical', 'treatment', 'juggle'), ('treatment', 'juggle', 'bills')]"
We are struggling to pay bills,41.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are struggling to pay bills,35-44,"[('struggling', 'pay', 'bills')]"
Can't buy goods.,24.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Can't buy goods.,18-24,"[('ca', 'buy', 'goods')]"
I havent had food every night ive went a week without food.,18.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I havent had food every night ive went a week without food. ,18-24,"[('havent', 'food', 'every'), ('food', 'every', 'night'), ('every', 'night', 'ive'), ('night', 'ive', 'went'), ('ive', 'went', 'week'), ('went', 'week', 'without'), ('week', 'without', 'food')]"
Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc.,20.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  Not great. It’s hard for me to keep up with bills and monthly subscriptions let alone by things I need like food toilet paper etc. ,18-24,"[('great', 'hard', 'keep'), ('hard', 'keep', 'bills'), ('keep', 'bills', 'monthly'), ('bills', 'monthly', 'subscriptions'), ('monthly', 'subscriptions', 'let'), ('subscriptions', 'let', 'alone'), ('let', 'alone', 'things'), ('alone', 'things', 'need'), ('things', 'need', 'like'), ('need', 'like', 'food'), ('like', 'food', 'toilet'), ('food', 'toilet', 'paper'), ('toilet', 'paper', 'etc')]"
It has made paying medical bills difficult.,58.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It has made paying medical bills difficult.,55-64,"[('made', 'paying', 'medical'), ('paying', 'medical', 'bills'), ('medical', 'bills', 'difficult')]"
It has been rough and I want everything back to normal,22.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  It has been rough and I want everything back to normal ,18-24,"[('rough', 'want', 'everything'), ('want', 'everything', 'back'), ('everything', 'back', 'normal')]"
We are struggling to pay bills,41.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  We are struggling to pay bills,35-44,"[('struggling', 'pay', 'bills')]"
1 am not beyond wondering why Im still alive.,48.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1 am not beyond wondering why Im still alive. ,45-54,"[('beyond', 'wondering', 'im'), ('wondering', 'im', 'still'), ('im', 'still', 'alive')]"
It’s making things pretty tight. Hopefully there will be some relief,69.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief ,65+,"[('making', 'things', 'pretty'), ('things', 'pretty', 'tight'), ('pretty', 'tight', 'hopefully'), ('tight', 'hopefully', 'relief')]"
It is always a challenge to meet the monthly bills.,74.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills. ,65+,"[('always', 'challenge', 'meet'), ('challenge', 'meet', 'monthly'), ('meet', 'monthly', 'bills')]"
The intrest on the accounts i had to place on hold have messed up my credit and raised my debt. The domino effect of financial stress has affected my health.,33.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  The intrest on the accounts i had to place on hold have messed up my credit and raised my debt. The domino effect of financial stress has affected my health. ,25-34,"[('intrest', 'accounts', 'place'), ('accounts', 'place', 'hold'), ('place', 'hold', 'messed'), ('hold', 'messed', 'credit'), ('messed', 'credit', 'raised'), ('credit', 'raised', 'debt'), ('raised', 'debt', 'domino'), ('debt', 'domino', 'effect'), ('domino', 'effect', 'financial'), ('effect', 'financial', 'stress'), ('financial', 'stress', 'affected'), ('stress', 'affected', 'health')]"
1am about to start school in the fall and my on campus job is no longer available so | need as much financial help as | can get.,24.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  1am about to start school in the fall and my on campus job is no longer available so | need as much financial help as | can get.    ,18-24,"[('1am', 'start', 'school'), ('start', 'school', 'fall'), ('school', 'fall', 'campus'), ('fall', 'campus', 'job'), ('campus', 'job', 'longer'), ('job', 'longer', 'available'), ('longer', 'available', 'need'), ('available', 'need', 'much'), ('need', 'much', 'financial'), ('much', 'financial', 'help'), ('financial', 'help', 'get')]"
Bad,22.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  Bad,18-24,[]
Increased debt,61.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Increased debt,55-64,[]
Hard to pay rent and utilities,27.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  Hard to pay rent and utilities,25-34,"[('hard', 'pay', 'rent'), ('pay', 'rent', 'utilities')]"
1am unable to pay bills and unable to afford food and necessities,26.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  1am unable to pay bills and unable to afford food and necessities ,25-34,"[('1am', 'unable', 'pay'), ('unable', 'pay', 'bills'), ('pay', 'bills', 'unable'), ('bills', 'unable', 'afford'), ('unable', 'afford', 'food'), ('afford', 'food', 'necessities')]"
it is more losing,42.0,"Income: $50,001 - $75,000",How has losing or going without more aid impacted you?  it is more losing,35-44,[]
I cannot get my medicine or enough food. Can't pay car insurance,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I cannot get my medicine or enough food. Can't pay car insurance ,55-64,"[('get', 'medicine', 'enough'), ('medicine', 'enough', 'food'), ('enough', 'food', 'ca'), ('food', 'ca', 'pay'), ('ca', 'pay', 'car'), ('pay', 'car', 'insurance')]"
It's made me hungrier,24.0,"Income: $75,001 - $100,000",How has losing or going without more aid impacted you?  It's made me hungrier,18-24,[]
"for me i'm okay right now. for a lot of Americans, i cannot say the same. they have to make tough decisions on feeding their family or putting their family at risk",23.0,"Income: Under $25,000","How has losing or going without more aid impacted you?  for me i'm okay right now. for a lot of Americans, i cannot say the same. they have to make tough decisions on feeding their family or putting their family at risk ",18-24,"[('okay', 'right', 'lot'), ('right', 'lot', 'americans'), ('lot', 'americans', 'say'), ('americans', 'say', 'make'), ('say', 'make', 'tough'), ('make', 'tough', 'decisions'), ('tough', 'decisions', 'feeding'), ('decisions', 'feeding', 'family'), ('feeding', 'family', 'putting'), ('family', 'putting', 'family'), ('putting', 'family', 'risk')]"
We are behind on bills.,44.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  We are behind on bills.,35-44,[]
living off my savings,64.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  living off my savings,55-64,[]
I need to get forgiven for my credit card payments for 2 months,57.0,"Income: $25,000 - $50,000",How has losing or going without more aid impacted you?  I need to get forgiven for my credit card payments for 2 months ,55-64,"[('need', 'get', 'forgiven'), ('get', 'forgiven', 'credit'), ('forgiven', 'credit', 'card'), ('credit', 'card', 'payments'), ('card', 'payments', '2'), ('payments', '2', 'months')]"
I still owe my landlord $1000,56.0,"Income: Under $25,000",How has losing or going without more aid impacted you?  I still owe my landlord $1000,55-64,"[('still', 'owe', 'landlord'), ('owe', 'landlord', '1000')]"
