0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Hurting paying bills Age: 53, Income: $50,001 - $75,000  This person is represented by Thomas W. II Reed (R, NY-23), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It m.h ade it harder to be able to eat right Age: 61, Income: Under $25,000  This person is represented by Denny Heck (D, WA-10), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It makes me feel less optimistic about the future  Age: 64, Income: $25,000 - $50,000  This person is represented by Alex X. Mooney (R, WV-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Financial crisis Age: 27, Income: Under $25,000  This person is represented by Kelly Armstrong (R, ND-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Will go broke Age: 66, Income: $100,001 - $150,000  This person is represented by Tulsi Gabbard (D, HI-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided  additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?     Money has gotten very tight. We are paycheck to paycheck with the added cone if PPE .  Age: 60, Income: $25,000 - $50,000  This person is represented by Elaine Luria (D, VA- 02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Evicted Age: 59, Income: Under $25,000  This person is represented by Austin Scott (R, GA-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  can't go to store when i need too Age: 57, Income: Under $25,000  This person is represented by Martha Roby (R, AL-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Greatly, I can barely afford my bills Age: 27, Income: $25,000 - $50,000  This person is represented by Tom Rice (R, SC- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am unable to pay bills and unable to afford food and necessities  Age: 26, Income: $25,000 - $50,000  This person is represented by Liz Cheney (R, WY- 01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I'm struggling with bills and rent Age: 23, Income: $25,000 - $50,000  This person is represented by Doug Lamborn (R, CO-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  | now barely have the money I need to pay my bills. | cannot see a doctor or receive medication for my chronic illness.  Age: 33, Income: $25,000 - $50,000  This person is represented by James Baird (R, IN- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  If |had more | could have paid off my summer class  Age: 20, Income: More than $150,000  This person is represented by Paul Cook (R, CA- 08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My mom was furloughed and we don’t go out as much  Age: 22, Income: $50,001 - $75,000  This person is represented by Susan Brooks (R, IN-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me a little more depressed Age: 52, Income: $25,000 - $50,000  This person is represented by Daniel A. Webster (R, FL-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Doctor visits have been postponed Age: 71, Income: $50,001 - $75,000  This person is represented by Jestis Garcia (D, IL- 04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  it makes it harder to buy food and pay bills. Age: 76, Income: $25,000 - $50,000  This person is represented by William Steube (R, FL-17), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We're doing ok, haven’t missed any bill payments, but things are tight.  Age: 63, Income: $50,001 - $75,000  This person is represented by Marcia L. Fudge (D, OH-11), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s made paying rent near impossible Age: 20, Income: Under $25,000  This person is represented by Michael C. Burgess (R, TX-26), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  very hard, it makes paying bills and buying grocerys difficult as well as trying to get things fixed that break down      Age: 66, Income: $25,000 - $50,000  This person is represented by David Kustoff (R, TN-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Horrible Age: 31, Income: Under $25,000  This person is represented by Jeff Duncan (R, SC- 03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We are STRUGGLING to pay all of the usual bills, which are higher, along with trying supply enough food, and products needed to ensure the pandemic.  Age: 60, Income: $25,000 - $50,000  This person is represented by Kendra Horn (D, OK-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Some bills haven't gotten paid. Age: 66, Income: $25,000 - $50,000  This person is represented by Jason Smith (R, MO-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We are broke. No savings left. Age: 37, Income: $25,000 - $50,000  This person is represented by Andy Barr (R, KY- 06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Almost homeless Age: 53, Income: Under $25,000  This person is represented by Bill Posey (R, FL- 08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  lam currently employed, but my partner is not and he stays home with our 3 year old daughter. We have half the income we are used to, now that the extra $600 for unemployment has ended     Age: 24, Income: $50,001 - $75,000  This person is represented by Ilhan Omar (D, MN- 05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  LittIr money to buy food and basuc needs Age: 53, Income: $25,000 - $50,000  This person is represented by Ralph Norman (R, SC-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?     it will be more difficult due to covid 19, now , it is even less , because no 600 dollars from the federal  Age: 61, Income: $75,001 - $100,000  This person is represented by Michael Thompson (D, CA-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1 Became Homeless Age: 31, Income: Under $25,000  This person is represented by Brian K. Fitzpatrick (R, PA-O1), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s made paying rent near impossible Age: 20, Income: Under $25,000  This person is represented by Michael C. Burgess (R, TX-26), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It’s making things pretty tight. Hopefully there will be some relief  Age: 69, Income: $50,001 - $75,000  This person is represented by David Mckinley (R, WV-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My son lives at home and lost his job which lowers our income  Age: 39, Income: Under $25,000  This person is represented by John Bergman (R, MI-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Has limited our income Age: 55, Income: $50,001 - $75,000  This person is represented by William Steube (R, FL-17), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Need dental work Age: 25, Income: $25,000 - $50,000  This person is represented by Derek Kilmer (D, WA-06), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am depleting my savings. Age: 51, Income: Under $25,000  This person is represented by Ted Yoho (R, FL-03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has been very hard on my family Age: 42, Income: Under $25,000  This person is represented by Charlie Joseph Jr. Crist (D, FL-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Evicted Age: 59, Income: Under $25,000  This person is represented by Austin Scott (R, GA-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I lost my home Age: 40, Income: $25,000 - $50,000  This person is represented by Joyce Beatty (D, OH-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Less food and high bills to pay Age: 43, Income: Under $25,000  This person is represented by Rick Crawford (R, ‘AR-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Makes me sad. Age: 69, Income: $75,001 - $100,000  This person is represented by Carol Miller (R, WV- 03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  a lot. Cut hours loss in wages it adds up Age: 36, Income: $25,000 - $50,000  This person is represented by John Henry Rutherford (R, FL-04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have no money left to pay some essential bills  Age: 32, Income: Under $25,000  This person is represented by David Trone (D, MD-06), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have no money to pay bills, so 1 am currently borrowing money.  Age: 32, Income: Under $25,000  This person is represented by Michael F. Doyle (D, PA-18), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided  additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Not being able to pay mortage Age: 32, Income: $25,000 - $50,000  This person is represented by John Henry Rutherford (R, FL-04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Its hard for me yo get foid Age: 28, Income: $25,000 - $50,000  This person is represented by Brendan Francis Boyle (D, PA-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  living off my savings Age: 64, Income: $25,000 - $50,000  This person is represented by Robert C. Scott (D, VA-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  | now barely have the money I need to pay my bills. | cannot see a doctor or receive medication for my chronic illness.  Age: 33, Income: $25,000 - $50,000  This person is represented by James Baird (R, IN- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Severely problematic Age: 60, Income: Under $25,000  This person is represented by Charlie Joseph Jr. Crist (D, FL-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  TROUBLE PAYING BILLS Age: 50, Income: $50,001 - $75,000  This person is represented by Warren Davidson (R, OH-08), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We are broke. No savings left. Age: 37, Income: $25,000 - $50,000  This person is represented by Andy Barr (R, KY- 06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  very negatively Age: 22, Income: $25,000 - $50,000  This person is represented by Nita M. Lowey (D, NY-17), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It's got man anxiety order working overtime.  Age: 58, Income: $75,001 - $100,000  This person is represented by Rick W. Allen (R, GA-12), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Will go broke Age: 66, Income: $100,001 - $150,000  This person is represented by Tulsi Gabbard (D, HI-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided  additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We need a new stimulus. We needed assistance with our light bill. It was off a week. My water is now off.  Age: 48, Income: Under $25,000  This person is represented by Tom Cole (R, OK- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  iam running short of money Age: 49, Income: Under $25,000  This person is represented by Frank James Sensenbrenner (R, WI-05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I had to cut back on some things spend less money  Age: 68, Income: $25,000 - $50,000  This person is represented by Gregory W. Meeks (D, NY-05), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief.  Since the HEROES Act passed the house in May,  it has been blocked by Republican Senate leader  Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We have been behind on our bills Age: 65, Income: Under $25,000  This person is represented by John Sarbanes (D, MD-03), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My family is barley getting by. Age: 31, Income: $25,000 - $50,000  This person is represented by Gregory Pence (R, IN-06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me anxious. Age: 65, Income: $25,000 - $50,000  This person is represented by Hank Johnson (D, GA-04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I have to search harder for some items, and pay more  Age: 67, Income: Under $25,000  This person is represented by Carol Miller (R, WV- 03), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  I still owe my landlord $1000 Age: 56, Income: Under $25,000  This person is represented by Dan Meuser (R, PA- 09), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  lam about to become homeless Age: 46, Income: $50,001 - $75,000  This person is represented by Neal Patrick Dunn (R, FL-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  i cannot afford my medications Age: 70, Income: $75,001 - $100,000  This person is represented by Charlie Joseph Jr. Crist (D, FL-13), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  We are broke. No savings left. Age: 37, Income: $25,000 - $50,000  This person is represented by Andy Barr (R, KY- 06), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It makes me feel less optimistic about the future  Age: 64, Income: $25,000 - $50,000  This person is represented by Alex X. Mooney (R, WV-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am going broke Age: 48, Income: $50,001 - $75,000  This person is represented by Peter Welch (D, VT- 01), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Hard to pay rent and utilities Age: 27, Income: Under $25,000  This person is represented by Robert Aderholt (R, AL-04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  just financially i am failing Age: 36, Income: $100,001 - $150,000  This person is represented by Bradley Byrme (R, ‘AL-01), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Harder to get by Age: 36, Income: $50,001 - $75,000  This person is represented by André Carson (D, IN-07), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  need to be really careful with my expenses Age: 39, Income: $100,001 - $150,000  This person is represented by Jaime Herrera Beutler (R, WA-03), who VOTED AGAINST the HEROES Act, which would have extended UI  benefits and provided additional forms of economic relief. Since the HEROES Act passed  the house in May, it has been blocked by  Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Unable to pay bills Age: 27, Income: $75,001 - $100,000  This person is represented by Kay Granger (R, TX-12), who ABSTAINED FROM VOTING FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  give me some mony Age: 42, Income: $100,001 - $150,000  This person is represented by Carolyn Bosher Maloney (D, NY-12), who VOTED FOR the HEROES. Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It is always a challenge to meet the monthly bills.  Age: 74, Income: Under $25,000  This person is represented by Donald J. Bacon (R, NE-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  It has made me anxious. Age: 65, Income: $25,000 - $50,000  This person is represented by Hank Johnson (D, GA-04), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Food prices going up Age: 63, Income: Under $25,000  This person is represented by Susan Wild (D, PA- 07), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Made me cut back on non essential purchases and carry over a couple bills.  Age: 37, Income: $25,000 - $50,000  This person is represented by Hal Rogers (R, KY- 05), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  1am going broke Age: 48, Income: $50,001 - $75,000  This person is represented by Peter Welch (D, VT- 01), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Made it harder to spend money Age: 44, Income: $50,001 - $75,000  This person is represented by Bennie Thompson (D, MS-02), who VOTED FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  | now barely have the money I need to pay my bills. | cannot see a doctor or receive medication for my chronic illness.  Age: 33, Income: $25,000 - $50,000  This person is represented by James Baird (R, IN- 04), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Behind on bills need a lot of car repairs Age: 50, Income: Under $25,000  This person is represented by Bill Huizenga (R, MI-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  My income is bad business Age: 36, Income: $25,000 - $50,000  This person is represented by José E. Serrano (D, NY-15), who ABSTAINED FROM VOTING FOR the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"How has losing or going without more aid impacted you?  Debt got higher Age: 67, Income: Under $25,000  This person is represented by K. Michael Conaway (R, TX-11), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
